Week,Topic,Title,Date
Week 01,Topic 01,"Introduction, Syllabus and Set up","January 18, 2024"
Week 02,Topic 02,Version Control,"January 23, 2024"
Week 02,Topic 02,Version Control,"January 25, 2024"
Week 03,Topic 03,Python essentials I,"January 30, 2024"
Week 03,Topic 03,Python essentials I,"February 1, 2024"
Week 04,Topic 03,Python essentials II,"February 6, 2024"
Week 04,Topic 03,Python essentials II,"February 8, 2024"
Week 05,Topic 04,API Interactions and Web Scraping,"February 13, 2024"
Week 05,Topic 04,API Interactions and Web Scraping,"February 15, 2024"
Week 06,Topic 05,Overview of Data Structure and Algorithms ,"February 20, 2024"
Week 06,Topic 05,Overview of Data Structure and Algorithms ,"February 22, 2024"
Week 07,Topic 06,SQL Operations and Operators,"February 27, 2024"
Week 07,Topic 06,SQL Operations and Operators,"February 29, 2024"
Week 08,Topic 06,SQL Operations and Operators,"March 5, 2024"
Week 08,Topic 06,SQL Operations and Operators,"March 7, 2024"
Week 09,-,"Spring Break (no classes, no office hours)","March 12, 2024"
Week 09,-,"Spring Break (no classes, no office hours)","March 14, 2024"
Week 10,Topic 07,NoSQL,"March 19, 2024"
Week 10,Topic 07,NoSQL,"March 21, 2024"
Week 11,Topic 08,"Database Design, Structures and Management","March 26, 2024"
Week 11,Topic 08,"Database Design, Structures and Management","March 28, 2024"
Week 12,Topic 09,"Create, Populate and Manipulate databases","April 2, 2024"
Week 12,Topic 09,"Create, Populate and Manipulate databases","April 4, 2024"
Week 13,Topic 10,Cloud Computing and Data Bases,"April 9, 2024"
Week 13,Topic 10,Cloud Computing and Data Bases,"April 11, 2024"
Week 14,Topic 10,Cloud Computing and Data Bases,"April 16, 2024"
Week 14,Topic 10,Cloud Computing and Data Bases,"April 18, 2024"
Week 15,Topic 11,Presentations,"April 23, 2024"
Week 15,Topic 11,Presentations,"April 25, 2024"
